workspace_id,task_type,instance_number,instance_id,metadata_path,workspace_path,difficulty,original_instance_id,revise_type,revise_type_name,diff_summary,source_revise_instance,domain,difficulty_level,explain_dimension,question
or_space_078_build,build,78,IndustryOR_78,Workspace_OR/build_workspaces/instance_78/metadata.json,Workspace_OR/build_workspaces/instance_78/,Hard,,,,,,,,,
or_space_079_build,build,79,IndustryOR_79,Workspace_OR/build_workspaces/instance_79/metadata.json,Workspace_OR/build_workspaces/instance_79/,Easy,,,,,,,,,
or_space_080_build,build,80,IndustryOR_80,Workspace_OR/build_workspaces/instance_80/metadata.json,Workspace_OR/build_workspaces/instance_80/,Medium,,,,,,,,,
or_space_081_build,build,81,IndustryOR_81,Workspace_OR/build_workspaces/instance_81/metadata.json,Workspace_OR/build_workspaces/instance_81/,Easy,,,,,,,,,
or_space_082_build,build,82,IndustryOR_82,Workspace_OR/build_workspaces/instance_82/metadata.json,Workspace_OR/build_workspaces/instance_82/,Medium,,,,,,,,,
or_space_083_build,build,83,IndustryOR_83,Workspace_OR/build_workspaces/instance_83/metadata.json,Workspace_OR/build_workspaces/instance_83/,Medium,,,,,,,,,
or_space_084_build,build,84,IndustryOR_84,Workspace_OR/build_workspaces/instance_84/metadata.json,Workspace_OR/build_workspaces/instance_84/,Easy,,,,,,,,,
or_space_085_build,build,85,IndustryOR_85,Workspace_OR/build_workspaces/instance_85/metadata.json,Workspace_OR/build_workspaces/instance_85/,Easy,,,,,,,,,
or_space_086_build,build,86,IndustryOR_86,Workspace_OR/build_workspaces/instance_86/metadata.json,Workspace_OR/build_workspaces/instance_86/,Easy,,,,,,,,,
or_space_087_build,build,87,IndustryOR_87,Workspace_OR/build_workspaces/instance_87/metadata.json,Workspace_OR/build_workspaces/instance_87/,Easy,,,,,,,,,
or_space_088_build,build,88,IndustryOR_88,Workspace_OR/build_workspaces/instance_88/metadata.json,Workspace_OR/build_workspaces/instance_88/,Medium,,,,,,,,,
or_space_089_build,build,89,IndustryOR_89,Workspace_OR/build_workspaces/instance_89/metadata.json,Workspace_OR/build_workspaces/instance_89/,Medium,,,,,,,,,
or_space_090_build,build,90,IndustryOR_90,Workspace_OR/build_workspaces/instance_90/metadata.json,Workspace_OR/build_workspaces/instance_90/,Easy,,,,,,,,,
or_space_091_build,build,91,IndustryOR_91,Workspace_OR/build_workspaces/instance_91/metadata.json,Workspace_OR/build_workspaces/instance_91/,Easy,,,,,,,,,
or_space_092_build,build,92,IndustryOR_92,Workspace_OR/build_workspaces/instance_92/metadata.json,Workspace_OR/build_workspaces/instance_92/,Easy,,,,,,,,,
or_space_093_build,build,93,IndustryOR_93,Workspace_OR/build_workspaces/instance_93/metadata.json,Workspace_OR/build_workspaces/instance_93/,Medium,,,,,,,,,
or_space_094_build,build,94,IndustryOR_94,Workspace_OR/build_workspaces/instance_94/metadata.json,Workspace_OR/build_workspaces/instance_94/,Hard,,,,,,,,,
or_space_095_build,build,95,IndustryOR_95,Workspace_OR/build_workspaces/instance_95/metadata.json,Workspace_OR/build_workspaces/instance_95/,Easy,,,,,,,,,
or_space_096_build,build,96,IndustryOR_96,Workspace_OR/build_workspaces/instance_96/metadata.json,Workspace_OR/build_workspaces/instance_96/,Hard,,,,,,,,,
or_space_097_build,build,97,IndustryOR_97,Workspace_OR/build_workspaces/instance_97/metadata.json,Workspace_OR/build_workspaces/instance_97/,Hard,,,,,,,,,
or_space_098_build,build,98,IndustryOR_98,Workspace_OR/build_workspaces/instance_98/metadata.json,Workspace_OR/build_workspaces/instance_98/,Hard,,,,,,,,,
or_space_099_build,build,99,IndustryOR_99,Workspace_OR/build_workspaces/instance_99/metadata.json,Workspace_OR/build_workspaces/instance_99/,Medium,,,,,,,,,
or_space_100_build,build,100,IndustryOR_100,Workspace_OR/build_workspaces/instance_100/metadata.json,Workspace_OR/build_workspaces/instance_100/,Hard,,,,,,,,,
or_space_001_revise,revise,1,IndustryOR_1_revise_business,Workspace_OR/revise_workspaces/instance_1/metadata.json,Workspace_OR/revise_workspaces/instance_1/,Hard,IndustryOR_1,R1,Mutual Exclusion Constraint,"+1var, +2constr, mod_5constr, mod_obj",,,,,
or_space_002_revise,revise,2,IndustryOR_2_revise_business,Workspace_OR/revise_workspaces/instance_2/metadata.json,Workspace_OR/revise_workspaces/instance_2/,Medium,IndustryOR_2,R5,Scenario Restructuring,"+6var, +8constr, mod_3constr, mod_obj, mod_2data",,,,,
or_space_003_revise,revise,3,IndustryOR_3_revise_business,Workspace_OR/revise_workspaces/instance_3/metadata.json,Workspace_OR/revise_workspaces/instance_3/,Easy,IndustryOR_3,R5,Scenario Restructuring,"+5var, +9constr, mod_6constr, mod_obj, mod_1data",,,,,
or_space_004_revise,revise,4,IndustryOR_4_revise_business,Workspace_OR/revise_workspaces/instance_4/metadata.json,Workspace_OR/revise_workspaces/instance_4/,Hard,IndustryOR_4,R5,Scenario Restructuring,"+6var, +8constr, mod_4constr, mod_obj, mod_3data",,,,,
or_space_005_revise,revise,5,IndustryOR_5_revise_business,Workspace_OR/revise_workspaces/instance_5/metadata.json,Workspace_OR/revise_workspaces/instance_5/,Hard,IndustryOR_5,R5,Scenario Restructuring,"+4var, -0var, +8constr, -1constr, mod_6constr, mod_obj, mod_3data",,,,,
or_space_006_revise,revise,6,IndustryOR_6_revise_business,Workspace_OR/revise_workspaces/instance_6/metadata.json,Workspace_OR/revise_workspaces/instance_6/,Easy,IndustryOR_6,R5,Scenario Restructuring,"+3var_dim, +8constr, mod_6constr, mod_obj, mod_2data",,,,,
or_space_007_revise,revise,7,IndustryOR_7_revise_business,Workspace_OR/revise_workspaces/instance_7/metadata.json,Workspace_OR/revise_workspaces/instance_7/,Medium,IndustryOR_7,R5,Objective Function Transformation,"-2var, mod_3constr, mod_obj, mod_1data",,,,,
or_space_008_revise,revise,8,IndustryOR_8_revise_business,Workspace_OR/revise_workspaces/instance_8/metadata.json,Workspace_OR/revise_workspaces/instance_8/,Medium,IndustryOR_8,R4,Scenario Restructuring,"+1var, mod_2constr, mod_obj, mod_1data",,,,,
or_space_009_revise,revise,9,IndustryOR_9_revise_business,Workspace_OR/revise_workspaces/instance_9/metadata.json,Workspace_OR/revise_workspaces/instance_9/,Medium,IndustryOR_9,R5,Scenario Restructuring,"+4var, +5constr, mod_4constr, mod_obj, mod_1data",,,,,
or_space_010_revise,revise,10,IndustryOR_10_revise_business,Workspace_OR/revise_workspaces/instance_10/metadata.json,Workspace_OR/revise_workspaces/instance_10/,Medium,IndustryOR_10,R3,Constraint Modification,"+2var, +4constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_011_revise,revise,11,IndustryOR_11_revise_business,Workspace_OR/revise_workspaces/instance_11/metadata.json,Workspace_OR/revise_workspaces/instance_11/,Hard,IndustryOR_11,R5,Scenario Restructuring,"+4var, +7constr, mod_6constr, mod_obj, mod_2data",,,,,
or_space_012_revise,revise,12,IndustryOR_12_revise_business,Workspace_OR/revise_workspaces/instance_12/metadata.json,Workspace_OR/revise_workspaces/instance_12/,Easy,IndustryOR_12,R5,Scenario Restructuring,"+6var_binary, +36var_int, +13constr, -6constr, mod_7constr, mod_obj, mod_1data",,,,,
or_space_013_revise,revise,13,IndustryOR_13_revise_business,Workspace_OR/revise_workspaces/instance_13/metadata.json,Workspace_OR/revise_workspaces/instance_13/,Medium,IndustryOR_13,R1,Mutual Exclusion Constraint,"+3var, +3constr, mod_7constr, mod_obj",,,,,
or_space_014_revise,revise,14,IndustryOR_14_revise,Workspace_OR/revise_workspaces/instance_14/metadata.json,Workspace_OR/revise_workspaces/instance_14/,Easy,IndustryOR_14,R5,Scenario Restructuring,"+10var, -0var, +7constr, -0constr, mod_4constr, mod_obj, mod_2data",,,,,
or_space_015_revise,revise,15,IndustryOR_15_revise_business,Workspace_OR/revise_workspaces/instance_15/metadata.json,Workspace_OR/revise_workspaces/instance_15/,Hard,IndustryOR_15,R5,Scenario Restructuring,"+4var, +6constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_016_revise,revise,16,IndustryOR_16_revise_business,Workspace_OR/revise_workspaces/instance_16/metadata.json,Workspace_OR/revise_workspaces/instance_16/,Easy,IndustryOR_16,R4,Penalty / Fixed Cost Addition,"+1var, +1constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_017_revise,revise,17,IndustryOR_17_revise_business,Workspace_OR/revise_workspaces/instance_17/metadata.json,Workspace_OR/revise_workspaces/instance_17/,Hard,IndustryOR_17,R5,Scenario Restructuring,"+6var, +6constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_018_revise,revise,18,IndustryOR_18_revise_business,Workspace_OR/revise_workspaces/instance_18/metadata.json,Workspace_OR/revise_workspaces/instance_18/,Hard,IndustryOR_18,R5,Scenario Restructuring,"+4var, +5constr, mod_1constr, mod_obj, mod_1data",,,,,
or_space_019_revise,revise,19,IndustryOR_19_revise_business,Workspace_OR/revise_workspaces/instance_19/metadata.json,Workspace_OR/revise_workspaces/instance_19/,Easy,IndustryOR_19,R5,Scenario Restructuring,"+6var, +10constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_020_revise,revise,20,IndustryOR_20_revise_business,Workspace_OR/revise_workspaces/instance_20/metadata.json,Workspace_OR/revise_workspaces/instance_20/,Easy,IndustryOR_20,R1,Mutual Exclusion Constraint,"+1var, +2constr, mod_13constr, mod_obj",,,,,
or_space_021_revise,revise,21,IndustryOR_21_revise_business,Workspace_OR/revise_workspaces/instance_21/metadata.json,Workspace_OR/revise_workspaces/instance_21/,Medium,IndustryOR_21,R4,Penalty / Fixed Cost Addition,"+1var, +1constr, mod_3constr, mod_obj, mod_1data",,,,,
or_space_022_revise,revise,22,IndustryOR_22_revise_business,Workspace_OR/revise_workspaces/instance_22/metadata.json,Workspace_OR/revise_workspaces/instance_22/,Medium,IndustryOR_22,R5,Scenario Restructuring,"+1var, +1constr, mod_1constr, mod_obj, mod_1data",,,,,
or_space_023_revise,revise,23,IndustryOR_23_revise_business,Workspace_OR/revise_workspaces/instance_23/metadata.json,Workspace_OR/revise_workspaces/instance_23/,Easy,IndustryOR_23,R5,Scenario Restructuring,"+6var, +10constr, mod_6constr, mod_obj, mod_1data",,,,,
or_space_024_revise,revise,24,IndustryOR_24_revise_business,Workspace_OR/revise_workspaces/instance_24/metadata.json,Workspace_OR/revise_workspaces/instance_24/,Easy,IndustryOR_24,R5,Scenario Restructuring,"+8var, -4var, +14constr, -3constr, mod_3constr, mod_obj, mod_4data",,,,,
or_space_025_revise,revise,25,IndustryOR_25_revise_business,Workspace_OR/revise_workspaces/instance_25/metadata.json,Workspace_OR/revise_workspaces/instance_25/,Hard,IndustryOR_25,R5,Scenario Restructuring,"+2var, -2var, +3constr, -2constr, mod_3constr, mod_obj, mod_2data",,,,,
or_space_026_revise,revise,26,IndustryOR_26_revise_business,Workspace_OR/revise_workspaces/instance_26/metadata.json,Workspace_OR/revise_workspaces/instance_26/,Easy,IndustryOR_26,R5,Scenario Restructuring,"+1var, +2constr, mod_6constr, mod_obj, mod_1data",,,,,
or_space_027_revise,revise,27,IndustryOR_27_revise_business,Workspace_OR/revise_workspaces/instance_27/metadata.json,Workspace_OR/revise_workspaces/instance_27/,Easy,IndustryOR_27,R3,Constraint Modification,"+1var, +2constr, mod_5constr, mod_obj, mod_1data",,,,,
or_space_028_revise,revise,28,IndustryOR_28_revise_business,Workspace_OR/revise_workspaces/instance_28/metadata.json,Workspace_OR/revise_workspaces/instance_28/,Medium,IndustryOR_28,R4,Penalty / Fixed Cost Addition,"+3var, +3constr, mod_3constr, mod_obj, mod_1data",,,,,
or_space_029_revise,revise,29,IndustryOR_29_revise_business,Workspace_OR/revise_workspaces/instance_29/metadata.json,Workspace_OR/revise_workspaces/instance_29/,Easy,IndustryOR_29,R5,Objective Function Transformation,"-7var, +4constr, mod_6constr, mod_obj, mod_1data",,,,,
or_space_030_revise,revise,30,IndustryOR_30_revise_business,Workspace_OR/revise_workspaces/instance_30/metadata.json,Workspace_OR/revise_workspaces/instance_30/,Easy,IndustryOR_30,R1,Mutual Exclusion Constraint,"+2var, +3constr, mod_4constr, mod_obj",,,,,
or_space_031_revise,revise,31,IndustryOR_31_revise_business,Workspace_OR/revise_workspaces/instance_31/metadata.json,Workspace_OR/revise_workspaces/instance_31/,Easy,IndustryOR_31,R4,Penalty / Fixed Cost Addition,"+2var, +2constr, mod_4constr, mod_obj, mod_1data",,,,,
or_space_032_revise,revise,32,IndustryOR_32_revise_business,Workspace_OR/revise_workspaces/instance_32/metadata.json,Workspace_OR/revise_workspaces/instance_32/,Hard,IndustryOR_32,R5,Scenario Restructuring,"+32var, +18constr, mod_7constr, mod_obj, mod_1data",,,,,
or_space_033_revise,revise,33,IndustryOR_33_revise_business,Workspace_OR/revise_workspaces/instance_33/metadata.json,Workspace_OR/revise_workspaces/instance_33/,Hard,IndustryOR_33,R5,Scenario Restructuring,"+9var, +18constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_034_revise,revise,34,IndustryOR_34_revise_business,Workspace_OR/revise_workspaces/instance_34/metadata.json,Workspace_OR/revise_workspaces/instance_34/,Medium,IndustryOR_34,R3,Business Logic / Dependency Constraint,"+1var, +1constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_035_revise,revise,35,IndustryOR_35_revise_business,Workspace_OR/revise_workspaces/instance_35/metadata.json,Workspace_OR/revise_workspaces/instance_35/,Hard,IndustryOR_35,R5,Scenario Restructuring,"+15var, +18constr, mod_6constr, mod_obj, mod_2data",,,,,
or_space_036_revise,revise,36,IndustryOR_36_revise_business,Workspace_OR/revise_workspaces/instance_36/metadata.json,Workspace_OR/revise_workspaces/instance_36/,Hard,IndustryOR_36,R4,structural_change,"+1var, +3constr, -2constr, mod_2constr, mod_obj, mod_2data",,,,,
or_space_037_revise,revise,37,IndustryOR_37_revise_business,Workspace_OR/revise_workspaces/instance_37/metadata.json,Workspace_OR/revise_workspaces/instance_37/,Easy,IndustryOR_37,R5,Scenario Restructuring,"+4var, +10constr, mod_4constr, mod_obj, mod_1data",,,,,
or_space_038_revise,revise,38,IndustryOR_38_revise_business,Workspace_OR/revise_workspaces/instance_38/metadata.json,Workspace_OR/revise_workspaces/instance_38/,Hard,IndustryOR_38,R5,Scenario Restructuring,"+12var, +12constr, mod_4constr, mod_obj, mod_1data",,,,,
or_space_039_revise,revise,39,IndustryOR_39_revise_business,Workspace_OR/revise_workspaces/instance_39/metadata.json,Workspace_OR/revise_workspaces/instance_39/,Medium,IndustryOR_39,R5,Scenario Restructuring,"+7var, -0var, +10constr, -1constr, mod_5constr, mod_obj, mod_3data",,,,,
or_space_040_revise,revise,40,IndustryOR_40_revise_business,Workspace_OR/revise_workspaces/instance_40/metadata.json,Workspace_OR/revise_workspaces/instance_40/,Hard,IndustryOR_40,R5,Scenario Restructuring,"+8var, +9constr, mod_2constr, mod_obj, mod_1data",,,,,
or_space_041_revise,revise,41,IndustryOR_41_revise_business,Workspace_OR/revise_workspaces/instance_41/metadata.json,Workspace_OR/revise_workspaces/instance_41/,Easy,IndustryOR_41,R5,Objective Function Transformation,"+2var, +1constr, mod_6constr, mod_obj, mod_1data",,,,,
